"Height"	"Income"
"Tall"	33894
"Tall"	50660
"Tall"	61320
"Tall"	50908
"Tall"	49050
"Tall"	47705
"Tall"	61663
"Tall"	50154
"Tall"	60588
"Tall"	69613
"Tall"	49652
"Tall"	63374
"Tall"	51985
"Tall"	48143
"Tall"	44527
"Tall"	61427
"Tall"	58484
"Tall"	67811
"Tall"	50990
"Tall"	67811
"Tall"	48669
"Tall"	43663
"Tall"	50391
"Tall"	50033
"Tall"	54831
"Tall"	67567
"Tall"	65138
"Tall"	55939
"Tall"	52890
"Tall"	57283
"Tall"	55158
"Tall"	54868
"Tall"	68054
"Tall"	53195
"Tall"	52108
"Tall"	47808
"Tall"	56554
"Tall"	60859
"Tall"	48715
"Tall"	60379
"Tall"	65352
"Tall"	60981
"Tall"	37677
"Tall"	42873
"Tall"	59605
"Tall"	57551
"Tall"	52174
"Tall"	60158
"Tall"	52710
"Tall"	48869
"Tall"	52914
"Tall"	47061
"Tall"	51619
"Tall"	49519
"Tall"	60360
"Tall"	61219
"Tall"	47927
"Tall"	62731
"Tall"	48958
"Tall"	45109
"Tall"	67269
"Tall"	49376
"Tall"	48537
"Tall"	65226
"Tall"	59047
"Tall"	53927
"Tall"	49931
"Tall"	52646
"Tall"	54305
"Tall"	49143
"Tall"	68963
"Tall"	67099
"Tall"	63726
"Tall"	59016
"Tall"	54126
"Tall"	66951
"Tall"	55431
"Tall"	48905
"Tall"	63943
"Tall"	63877
"Tall"	56967
"Tall"	43877
"Tall"	54178
"Tall"	44397
"Tall"	64785
"Tall"	55624
"Tall"	44050
"Tall"	39835
"Tall"	50065
"Tall"	44835
"Tall"	61232
"Tall"	77340
"Tall"	54321
"Tall"	45268
"Tall"	50621
"Tall"	66495
"Tall"	55470
"Tall"	57384
"Tall"	40500
"Tall"	44205
"Tall"	48048
"Tall"	63469
"Tall"	64922
"Tall"	56640
"Tall"	49632
"Tall"	61069
"Tall"	62602
"Tall"	62571
"Tall"	51523
"Tall"	57826
"Tall"	57352
"Tall"	55066
"Tall"	40968
"Tall"	78329
"Tall"	49619
"Tall"	43062
"Tall"	47517
"Tall"	58679
"Tall"	37188
"Tall"	46597
"Tall"	61990
"Tall"	41749
"Tall"	51900
"Tall"	48947
"Tall"	51911
"Tall"	60021
"Tall"	40355
"Tall"	52605
"Tall"	66514
"Tall"	67567
"Tall"	61662
"Tall"	42257
"Tall"	52916
"Tall"	58633
"Tall"	49520
"Tall"	45636
"Tall"	56846
"Tall"	59916
"Tall"	71112
"Tall"	58069
"Tall"	41630
"Tall"	53350
"Tall"	53552
"Tall"	61801
"Tall"	68418
"Tall"	40692
"Tall"	47503
"Tall"	54837
"Tall"	66725
"Tall"	53284
"Tall"	50884
"Tall"	61498
"Tall"	72004
"Tall"	48395
"Tall"	52518
"Tall"	58654
"Tall"	59679
"Tall"	52647
"Tall"	48080
"Tall"	55961
"Tall"	42488
"Tall"	55127
"Tall"	61279
"Tall"	49977
"Tall"	48692
"Tall"	59281
"Tall"	58607
"Tall"	46472
"Tall"	56139
"Tall"	57646
"Tall"	48748
"Tall"	46060
"Tall"	62103
"Tall"	60006
"Tall"	62553
"Tall"	51522
"Tall"	51365
"Tall"	59210
"Tall"	64900
"Tall"	56542
"Tall"	57381
"Tall"	63108
"Tall"	62037
"Tall"	46412
"Tall"	55921
"Tall"	58860
"Tall"	47802
"Tall"	47268
"Tall"	53385
"Tall"	42006
"Tall"	53992
"Tall"	60488
"Tall"	58594
"Tall"	54728
"Tall"	58111
"Tall"	58432
"Tall"	53076
"Tall"	51822
"Tall"	40063
"Tall"	59505
"Tall"	49886
"Tall"	55208
"Tall"	50104
"Tall"	51396
"Tall"	50260
"Tall"	44006
"Tall"	60749
"Tall"	62467
"Tall"	46794
"Tall"	45145
"Tall"	51010
"Tall"	54171
"Tall"	50980
"Tall"	48582
"Tall"	51101
"Tall"	48612
"Tall"	47953
"Tall"	54650
"Tall"	59020
"Tall"	49714
"Tall"	57443
"Tall"	45706
"Tall"	56988
"Tall"	50781
"Tall"	65658
"Tall"	64025
"Tall"	59131
"Tall"	68018
"Tall"	44192
"Tall"	56325
"Tall"	53563
"Tall"	56484
"Tall"	54125
"Tall"	47697
"Tall"	54476
"Tall"	50420
"Tall"	44406
"Tall"	64800
"Tall"	54504
"Tall"	50069
"Tall"	60792
"Tall"	41771
"Tall"	49876
"Tall"	50706
"Tall"	52271
"Tall"	69428
"Tall"	39314
"Tall"	48080
"Tall"	56127
"Tall"	65502
"Tall"	64444
"Tall"	44302
"Tall"	49369
"Tall"	53708
"Tall"	49478
"Tall"	61008
"Tall"	57503
"Tall"	54613
"Tall"	71507
"Tall"	43244
"Tall"	45400
"Tall"	42046
"Tall"	48010
"Tall"	31531
"Tall"	57249
"Tall"	57667
"Tall"	55910
"Tall"	56877
"Tall"	47965
"Tall"	52607
"Tall"	59347
"Tall"	53694
"Tall"	53070
"Tall"	56676
"Tall"	50988
"Tall"	49327
"Tall"	44812
"Tall"	47415
"Tall"	51806
"Tall"	55213
"Tall"	66080
"Tall"	70107
"Tall"	39853
"Tall"	63993
"Tall"	54872
"Tall"	44049
"Tall"	63676
"Tall"	47825
"Tall"	49666
"Tall"	35419
"Tall"	64601
"Tall"	49849
"Tall"	60009
"Tall"	72679
"Tall"	55718
"Tall"	35600
"Tall"	53794
"Tall"	56933
"Tall"	56371
"Tall"	53209
"Tall"	58019
"Tall"	53987
"Tall"	48232
"Tall"	44352
"Tall"	63966
"Tall"	52559
"Tall"	45684
"Tall"	48756
"Tall"	46945
"Tall"	52230
"Tall"	55942
"Tall"	49497
"Tall"	63450
"Tall"	62332
"Tall"	51869
"Tall"	49093
"Tall"	54976
"Tall"	32841
"Tall"	63212
"Tall"	47148
"Tall"	57637
"Tall"	56683
"Tall"	53965
"Tall"	48608
"Tall"	62713
"Tall"	32585
"Tall"	50590
"Tall"	48626
"Tall"	49757
"Tall"	49334
"Tall"	53405
"Tall"	57853
"Tall"	65427
"Tall"	42440
"Tall"	48454
"Tall"	56471
"Tall"	52107
"Tall"	69506
"Tall"	43527
"Tall"	61345
"Tall"	45451
"Tall"	51745
"Tall"	53168
"Tall"	55590
"Tall"	54668
"Tall"	54945
"Tall"	50182
"Tall"	55690
"Tall"	59399
"Tall"	63081
"Tall"	51710
"Tall"	65819
"Tall"	42866
"Tall"	45741
"Tall"	47883
"Tall"	55512
"Tall"	49944
"Tall"	46882
"Tall"	56050
"Tall"	46052
"Tall"	45402
"Tall"	51847
"Tall"	66793
"Tall"	44026
"Tall"	54752
"Tall"	65160
"Tall"	62235
"Tall"	55606
"Tall"	58665
"Tall"	42406
"Tall"	55856
"Tall"	44619
"Tall"	54902
"Tall"	62651
"Tall"	60570
"Tall"	50995
"Tall"	60634
"Tall"	51947
"Tall"	46194
"Tall"	45328
"Tall"	58026
"Tall"	47586
"Tall"	62543
"Tall"	47199
"Tall"	63112
"Tall"	55367
"Tall"	58634
"Tall"	52501
"Tall"	50884
"Tall"	54070
"Tall"	50856
"Tall"	54977
"Tall"	47494
"Tall"	54386
"Tall"	45674
"Tall"	52282
"Tall"	47298
"Tall"	54965
"Tall"	61536
"Tall"	55166
"Tall"	56189
"Tall"	62457
"Tall"	55396
"Tall"	47549
"Tall"	56397
"Tall"	49990
"Tall"	56684
"Tall"	56589
"Tall"	46787
"Tall"	44412
"Tall"	49869
"Tall"	44888
"Tall"	50287
"Tall"	38257
"Tall"	42651
"Tall"	37375
"Tall"	44475
"Tall"	54149
"Tall"	55741
"Tall"	51578
"Tall"	55433
"Tall"	66031
"Tall"	57937
"Tall"	51713
"Tall"	76655
"Tall"	65559
"Tall"	40760
"Tall"	40825
"Tall"	56819
"Tall"	54315
"Tall"	63752
"Tall"	52593
"Tall"	62837
"Tall"	70230
"Tall"	44926
"Tall"	54647
"Tall"	50187
"Tall"	49663
"Tall"	51269
"Tall"	47529
"Tall"	52093
"Tall"	43292
"Tall"	46007
"Tall"	44528
"Tall"	54633
"Tall"	43924
"Tall"	61532
"Tall"	63411
"Tall"	49950
"Tall"	58083
"Tall"	46915
"Tall"	48219
"Tall"	63652
"Tall"	41241
"Tall"	52349
"Tall"	52697
"Tall"	55189
"Tall"	52717
"Tall"	51090
"Tall"	54416
"Tall"	56662
"Tall"	53220
"Tall"	42301
"Tall"	65246
"Tall"	55522
"Tall"	64456
"Tall"	57009
"Tall"	68311
"Tall"	57884
"Tall"	50038
"Tall"	43468
"Tall"	61109
"Tall"	65281
"Tall"	63604
"Tall"	49828
"Tall"	41836
"Tall"	46681
"Tall"	66174
"Tall"	61771
"Tall"	49998
"Tall"	57640
"Tall"	58065
"Tall"	48642
"Tall"	54448
"Tall"	35092
"Tall"	75359
"Tall"	44841
"Tall"	51728
"Tall"	49446
"Tall"	59633
"Tall"	67681
"Tall"	45952
"Tall"	51601
"Tall"	51590
"Tall"	40216
"Tall"	59270
"Tall"	61157
"Tall"	51145
"Tall"	43832
"Tall"	67800
"Tall"	44866
"Tall"	53406
"Tall"	47728
"Tall"	50551
"Tall"	53266
"Tall"	47373
"Tall"	42714
"Tall"	72610
"Tall"	78999
"Tall"	57089
"Tall"	51221
"Tall"	49408
"Tall"	58999
"Tall"	36833
"Tall"	52569
"Tall"	57171
"Tall"	53810
"Tall"	45953
"Tall"	64937
"Tall"	58555
"Tall"	51866
"Tall"	50705
"Tall"	59791
"Tall"	55722
"Tall"	50035
"Tall"	44863
"Tall"	53130
"Tall"	51566
"Tall"	49863
"Tall"	51116
"Tall"	52743
"Tall"	36820
"Tall"	53285
"Tall"	59227
"Tall"	60052
"Tall"	62793
"Tall"	52763
"Tall"	58998
"Tall"	53294
"Tall"	52390
"Tall"	65199
"Tall"	51952
"Tall"	44287
"Tall"	57714
"Tall"	55666
"Tall"	64198
"Tall"	58849
"Tall"	60767
"Tall"	45603
"Tall"	54146
"Tall"	65931
"Tall"	51966
"Tall"	39641
"Tall"	55316
"Tall"	45887
"Tall"	50422
"Tall"	49460
"Tall"	49375
"Tall"	59450
"Tall"	76802
"Tall"	42513
"Tall"	47417
"Tall"	42726
"Tall"	47654
"Tall"	57170
"Tall"	58734
"Tall"	62868
"Tall"	40127
"Tall"	38161
"Tall"	53320
"Tall"	47923
"Tall"	47318
"Tall"	67462
"Tall"	50199
"Tall"	47042
"Tall"	55844
"Tall"	41766
"Tall"	42306
"Tall"	58866
"Tall"	46976
"Tall"	47330
"Tall"	56350
"Tall"	56813
"Tall"	58736
"Tall"	66528
"Tall"	56417
"Tall"	55964
"Tall"	50879
"Tall"	64156
"Tall"	47643
"Tall"	54430
"Tall"	43028
"Tall"	45510
"Tall"	57583
"Tall"	46743
"Tall"	50024
"Tall"	54301
"Tall"	41041
"Tall"	60279
"Tall"	69026
"Tall"	43094
"Tall"	62568
"Tall"	57084
"Tall"	49473
"Tall"	48209
"Tall"	57145
"Tall"	65530
"Tall"	48709
"Tall"	50106
"Tall"	42788
"Tall"	49876
"Tall"	58704
"Tall"	53299
"Tall"	53603
"Tall"	44144
"Tall"	73852
"Tall"	49352
"Tall"	43718
"Tall"	37812
"Tall"	55689
"Tall"	61316
"Tall"	65702
"Tall"	42386
"Tall"	62262
"Tall"	59046
"Tall"	55532
"Tall"	39260
"Tall"	51527
"Tall"	47530
"Tall"	63936
"Tall"	46423
"Tall"	57455
"Tall"	51493
"Tall"	51231
"Tall"	49772
"Tall"	43006
"Tall"	50226
"Tall"	62924
"Tall"	46859
"Tall"	43666
"Tall"	44230
"Tall"	68424
"Tall"	62755
"Tall"	54577
"Tall"	60637
"Tall"	44986
"Tall"	54461
"Tall"	58130
"Tall"	55348
"Tall"	51597
"Tall"	67134
"Tall"	66578
"Tall"	62870
"Tall"	53077
"Tall"	59412
"Tall"	51895
"Tall"	65271
"Tall"	65438
"Tall"	51250
"Tall"	51095
"Tall"	58933
"Tall"	62818
"Tall"	53630
"Tall"	40284
"Tall"	54217
"Tall"	61545
"Tall"	51795
"Tall"	56770
"Tall"	43807
"Tall"	40691
"Tall"	43580
"Tall"	44923
"Tall"	53557
"Tall"	43255
"Tall"	54742
"Tall"	51732
"Tall"	45651
"Tall"	52955
"Tall"	45463
"Tall"	53956
"Tall"	59727
"Tall"	40701
"Tall"	47184
"Tall"	35318
"Tall"	51427
"Tall"	64794
"Tall"	60201
"Tall"	49439
"Tall"	62223
"Tall"	45505
"Tall"	75518
"Tall"	60525
"Tall"	50290
"Tall"	54632
"Tall"	48967
"Tall"	62586
"Tall"	66953
"Tall"	50809
"Tall"	52005
"Tall"	61796
"Tall"	55392
"Tall"	67089
"Tall"	70796
"Tall"	52796
"Tall"	69824
"Tall"	66586
"Tall"	43154
"Tall"	49321
"Tall"	57698
"Tall"	63161
"Tall"	57232
"Tall"	64910
"Tall"	52111
"Tall"	59850
"Tall"	48243
"Tall"	54433
"Tall"	49402
"Tall"	50707
"Tall"	56876
"Tall"	41098
"Tall"	61749
"Tall"	49978
"Tall"	61669
"Tall"	74036
"Tall"	53329
"Tall"	59061
"Tall"	46622
"Tall"	46802
"Tall"	48383
"Tall"	67800
"Tall"	63182
"Tall"	55445
"Tall"	39125
"Tall"	50672
"Tall"	66175
"Tall"	45720
"Tall"	58126
"Tall"	60303
"Tall"	50580
"Tall"	41564
"Tall"	57569
"Tall"	60948
"Tall"	50145
"Tall"	56655
"Tall"	43574
"Tall"	63844
"Tall"	52803
"Tall"	53000
"Tall"	47557
"Tall"	48063
"Tall"	54996
"Tall"	50244
"Tall"	50159
"Tall"	46079
"Tall"	61411
"Tall"	48686
"Tall"	60968
"Tall"	52127
"Tall"	58181
"Tall"	45866
"Tall"	74761
"Tall"	58316
"Tall"	54360
"Tall"	67504
"Tall"	65530
"Tall"	55305
"Tall"	51043
"Tall"	53875
"Tall"	47877
"Tall"	63482
"Tall"	54670
"Tall"	48417
"Tall"	60989
"Tall"	57688
"Tall"	46189
"Tall"	52228
"Tall"	46774
"Tall"	63728
"Tall"	42589
"Tall"	58658
"Tall"	64053
"Tall"	45734
"Tall"	52752
"Tall"	55672
"Tall"	53247
"Tall"	57600
"Tall"	57302
"Tall"	53973
"Tall"	71917
"Tall"	60236
"Tall"	58055
"Tall"	47920
"Tall"	54499
"Tall"	59475
"Tall"	55675
"Tall"	58049
"Tall"	49825
"Tall"	54976
"Tall"	64261
"Tall"	45207
"Tall"	52129
"Tall"	50811
"Tall"	45854
"Tall"	61643
"Tall"	58000
"Tall"	46612
"Tall"	49906
"Tall"	60006
"Tall"	69146
"Tall"	58626
"Tall"	50199
"Tall"	41562
"Tall"	49272
"Tall"	39286
"Tall"	45290
"Tall"	53058
"Tall"	61935
"Tall"	54441
"Tall"	55426
"Tall"	49977
"Tall"	36263
"Tall"	48771
"Tall"	57349
"Tall"	50982
"Tall"	50189
"Tall"	39025
"Tall"	41413
"Tall"	52385
"Tall"	62489
"Tall"	65729
"Tall"	58974
"Tall"	57742
"Tall"	63350
"Tall"	53928
"Tall"	49080
"Tall"	51160
"Tall"	50091
"Tall"	44859
"Tall"	71065
"Tall"	61093
"Tall"	68876
"Tall"	46330
"Tall"	52188
"Tall"	62190
"Tall"	49062
"Tall"	44690
"Tall"	62286
"Tall"	68096
"Tall"	60835
"Tall"	49564
"Tall"	60186
"Tall"	53922
"Tall"	58772
"Tall"	49002
"Tall"	59052
"Tall"	59504
"Tall"	61935
"Tall"	59991
"Tall"	44994
"Tall"	54519
"Tall"	54836
"Tall"	61473
"Tall"	65120
"Tall"	47279
"Tall"	57120
"Tall"	57998
"Tall"	67277
"Tall"	46752
"Tall"	76925
"Tall"	72514
"Tall"	41220
"Tall"	56863
"Tall"	60634
"Tall"	51814
"Tall"	66837
"Tall"	39986
"Tall"	50447
"Tall"	54222
"Tall"	44895
"Tall"	62760
"Tall"	56952
"Tall"	46599
"Tall"	56796
"Tall"	58111
"Tall"	49098
"Tall"	58703
"Tall"	61101
"Tall"	59541
"Tall"	57843
"Tall"	62472
"Tall"	68424
"Tall"	52536
"Tall"	65566
"Tall"	42041
"Tall"	48358
"Tall"	36713
"Tall"	47240
"Tall"	60377
"Tall"	52586
"Tall"	52826
"Tall"	42955
"Tall"	62385
"Tall"	55290
"Tall"	46953
"Tall"	49684
"Tall"	51392
"Tall"	57508
"Tall"	60281
"Tall"	57474
"Tall"	53121
"Tall"	57816
"Tall"	51483
"Tall"	50771
"Tall"	67011
"Tall"	50337
"Tall"	43634
"Tall"	56134
"Tall"	69126
"Tall"	51541
"Tall"	59191
"Tall"	51650
"Tall"	54579
"Tall"	56694
"Tall"	56070
"Tall"	49658
"Tall"	42262
"Tall"	68453
"Tall"	58943
"Tall"	42661
"Tall"	43676
"Tall"	48832
"Tall"	38344
"Tall"	47581
"Tall"	49015
"Tall"	54014
"Tall"	53301
"Tall"	60712
"Tall"	47837
"Tall"	64935
"Tall"	50701
"Tall"	59127
"Tall"	59016
"Tall"	48821
"Tall"	54304
"Tall"	51260
"Tall"	60695
"Tall"	67020
"Tall"	60582
"Tall"	48491
"Tall"	51779
"Tall"	54659
"Tall"	54243
"Tall"	51572
"Tall"	54295
"Tall"	42689
"Tall"	61099
"Tall"	50686
"Tall"	72848
"Tall"	55132
"Tall"	51496
"Tall"	59307
"Tall"	60492
"Tall"	40392
"Tall"	42408
"Tall"	60630
"Tall"	58880
"Tall"	53062
"Tall"	58358
"Tall"	62388
"Tall"	44538
"Tall"	56361
"Tall"	61628
"Tall"	53381
"Tall"	51704
"Tall"	64156
"Tall"	59531
"Tall"	45397
"Tall"	46351
"Tall"	41792
"Tall"	53050
"Tall"	47312
"Tall"	53919
"Tall"	65235
"Tall"	51546
"Tall"	64400
"Tall"	59081
"Tall"	55242
"Tall"	55266
"Tall"	58049
"Tall"	62063
"Tall"	48788
"Tall"	59971
"Tall"	51183
"Tall"	51398
"Tall"	54253
"Tall"	36380
"Tall"	49920
"Tall"	35116
"Tall"	53565
"Tall"	46827
"Tall"	47774
"Tall"	51918
"Tall"	73749
"Tall"	52400
"Tall"	41261
"Tall"	58440
"Tall"	49707
"Tall"	57589
"Tall"	53273
"Tall"	52010
"Tall"	61751
"Tall"	49312
"Tall"	54101
"Tall"	46630
"Tall"	45406
"Tall"	69750
"Tall"	58755
"Tall"	50293
"Tall"	60643
"Tall"	52612
"Tall"	48925
"Tall"	54350
"Tall"	45285
"Tall"	44313
"Tall"	61462
"Tall"	69021
"Tall"	62470
"Tall"	51783
"Tall"	57168
"Tall"	69734
"Tall"	66137
"Tall"	52584
"Tall"	56021
"Tall"	56519
"Tall"	44375
"Tall"	55909
"Tall"	44953
"Tall"	61281
"Tall"	60098
"Tall"	49816
"Tall"	49482
"Tall"	64789
"Tall"	57129
"Tall"	63028
"Tall"	60566
"Tall"	57374
"Tall"	50478
"Tall"	58285
"Tall"	42790
"Tall"	50001
"Tall"	61134
"Tall"	52263
"Tall"	55416
"Tall"	53070
"Tall"	40497
"Tall"	64003
"Tall"	56713
"Tall"	55147
"Tall"	61275
"Tall"	55250
"Short"	40992
"Short"	47224
"Short"	37686
"Short"	68550
"Short"	54613
"Short"	48501
"Short"	42325
"Short"	56094
"Short"	52417
"Short"	37632
"Short"	59209
"Short"	52558
"Short"	34749
"Short"	53957
"Short"	52160
"Short"	47893
"Short"	54680
"Short"	53217
"Short"	38454
"Short"	42115
"Short"	44898
"Short"	41074
"Short"	60269
"Short"	43398
"Short"	49917
"Short"	53269
"Short"	52818
"Short"	34932
"Short"	56036
"Short"	50954
"Short"	42081
"Short"	54695
"Short"	48136
"Short"	43248
"Short"	34509
"Short"	62268
"Short"	43268
"Short"	53352
"Short"	61275
"Short"	52165
"Short"	67129
"Short"	52170
"Short"	46875
"Short"	34686
"Short"	44268
"Short"	53668
"Short"	35569
"Short"	38433
"Short"	37547
"Short"	56775
"Short"	44452
"Short"	43788
"Short"	38635
"Short"	52503
"Short"	56595
"Short"	61148
"Short"	37361
"Short"	34986
"Short"	49135
"Short"	41803
